alias,locale,country_id
Cyprus,en,cyp
Cyprus (official),en,cyp
Кипр,ru,cyp
Czech Republic,en,cze
Чехия,ru,cze
Democratic Republic of the Congo,en,cod
DR Congo,en,cod
Zaire,en,cod
Демократическая Республика Конго,ru,cod
ДР Конго,ru,cod
Заир,ru,cod
Denmark,en,dnk
Дания,ru,dnk
Djibouti,en,dji
Джибути,ru,dji
Dominican Republic,en,dom
Доминиканская Республика,ru,dom
East Timor,en,tls
Восточный Тимор,ru,tls
Ecuador,en,ecu
Эквадор,ru,ecu
Egypt,en,egy
Египет,ru,egy
El Salvador,en,slv
Сальвадор,ru,slv
Эль-Сальвадор,ru,slv
Equatorial Guinea,en,gnq
Экваториальная Гвинея,ru,gnq
Eritrea,en,eri
Эритрея,ru,eri
Estonia,en,est
Эстония,ru,est
Eswatini,en,swz
Swaziland,en,swz
Эсватини,ru,swz
Свазиленд,ru,swz
Ethiopia,en,eth
Эфиопия,ru,eth
Fiji,en,fji
Фиджи,ru,fji
Finland,en,fin
Финляндия,ru,fin
France,en,fra
Франция,ru,fra
Gabon,en,gab
Габон,ru,gab
Gambia,en,gmb
Гамбия,ru,gmb
Georgia,en,geo
Грузия,ru,geo
Germany,en,deu
Германия,ru,deu
Ghana,en,gha
Гана,ru,gha
Gibraltar,en,gib
Гибралтар,ru,gib
Greece,en,grc
Греция,ru,grc
Grenada,en,grd
Гренада,ru,grd
Guadeloupe,en,glp
Гваделупа,ru,glp
Guatemala,en,gtm
Гватемала,ru,gtm
Guinea,en,gin
Гвинея,ru,gin
Guinea-Bissau,en,gnb
Гвинея-Бисау,ru,gnb
Haiti,en,hti
Гаити,ru,hti
Honduras,en,hnd
Гондурас,ru,hnd
Hong Kong,en,hkg
Гонконг,ru,hkg
Hungary,en,hun
Венгрия,ru,hun
Iceland,en,isl
Исландия,ru,isl
India,en,ind
Индия,ru,ind
Indonesia,en,idn
Индонезия,ru,idn
Iran,en,irn
Иран,ru,irn
Iraq,en,irq
Ирак,ru,irq
Ireland,en,irl
Ирландия,ru,irl
Israel,en,isr
Израиль,ru,isr
Italy,en,ita
Италия,ru,ita
Jamaica,en,jam
Ямайка,ru,jam
Japan,en,jpn
Япония,ru,jpn
Jordan,en,jor
Иордания,ru,jor
Kazakhstan,en,kaz
Казахстан,ru,kaz
Kenya,en,ken
Кения,ru,ken
Kiribati,en,kir
Кирибати,ru,kir
Kosovo,en,ksv
Косово,ru,ksv
Kuwait,en,kwt
Кувейт,ru,kwt
Kyrgyzstan,en,kgz
Киргизия,ru,kgz
Кыргызстан,ru,kgz
Киргизстан,ru,kgz
Latvia,en,lva
Латвия,ru,lva
Laos,en,lao
Лаос,ru,lao
Lebanon,en,lbn
Ливан,ru,lbn
Lesotho,en,lso
Лесото,ru,lso
Liberia,en,lbr
Либерия,ru,lbr
Libya,en,lby
Ливия,ru,lby
Lithuania,en,ltu
Литва,ru,ltu
Luxembourg,en,lux
Люксембург,ru,lux
Macau,en,mac
Макао,ru,mac
North Macedonia,en,mkd
Macedonia,en,mkd
Северная Македония,ru,mkd
Македония,ru,mkd
Madagascar,en,mdg
Мадагаскар,ru,mdg
Malawi,en,mwi
Republic of Malawi,en,mwi
Малави,ru,mwi
Республика Малави,ru,mwi
Malaysia,en,mys
Малайзия,ru,mys
Maldives,en,mdv
Republic of Maldives,en,mdv
Мальдивы,ru,mdv
Мальдивская республика,ru,mdv
Mali,en,mli
Мали,ru,mli
Malta,en,mlt
Мальта,ru,mlt
Martinique,en,mtq
Мартиника,ru,mtq
Mauritius,en,mus
Маврикий,ru,mus
Mexico,en,mex
Мексика,ru,mex
Moldova,en,mda
Moldavia,en,mda
Молдавия,ru,mda
Молдова,ru,mda
Monaco,en,mco
Монако,ru,mco
Mongolia,en,mng
Монголия,ru,mng
Montenegro,en,mne
Черногория,ru,mne
Morocco,en,mar
Марокко,ru,mar
Mozambique,en,moz
Мозамбик,ru,moz
Namibia,en,nam
Намибия,ru,nam
Nauru,en,nru
Науру,ru,nru
Nepal,en,npl
Непал,ru,npl
Netherlands,en,nld
Нидерланды,ru,nld
New Zealand,en,nzl
Новая Зеландия,ru,nzl
Nicaragua,en,nic
Никарагуа,ru,nic
Niger,en,ner
Нигер,ru,ner
Nigeria,en,nga
Нигерия,ru,nga
North Korea,en,prk
Северная Корея,ru,prk
КНДР,ru,prk
Northern Cyprus,en,ncp
Северный Кипр,ru,ncp
Norway,en,nor
Норвегия,ru,nor
Oman,en,omn
Оман,ru,omn
Pakistan,en,pak
Пакистан,ru,pak
Palau,en,plw
Палау,ru,plw
Palestine,en,pse
Палестина,ru,pse
Panama,en,pan
Панама,ru,pan
Papua New Guinea,en,png
Папуа — Новая Гвинея,ru,png
Папуа - Новая Гвинея,ru,png
Paraguay,en,pry
Парагвай,ru,pry
Peru,en,per
Перу,ru,per
Philippines,en,phl
Филиппины,ru,phl
Poland,en,pol
Польша,ru,pol
Portugal,en,prt
Португалия,ru,prt
Puerto Rico,en,pri
Пуэрто-Рико,ru,pri
Romania,en,rou
Румыния,ru,rou
Russia,en,rus
Россия,ru,rus
Rwanda,en,rwa
Руанда,ru,rwa
Saint Lucia,en,lca
Сент-Люсия,ru,lca
Saint Vincent and the Grenadines,en,vct
Сент-Винсент и Гренадины,ru,vct
Samoa,en,wsm
Самоа,ru,wsm
San Marino,en,smr
Сан-Марино,ru,smr
São Tomé and Príncipe,en,stp
Сан-Томе и Принсипи,ru,stp
Saudi Arabia,en,sau
Саудовская Аравия,ru,sau
Senegal,en,sen
Сенегал,ru,sen
Serbia,en,srb
Сербия,ru,srb
Seychelles,en,syc
Сейшельские острова,ru,syc
Сейшелы,ru,syc
Сейшельские Острова,ru,syc
Sierra Leone,en,sle
Сьерра-Леоне,ru,sle
Singapore,en,sgp
Сингапур,ru,sgp
Slovakia,en,svk
Словакия,ru,svk
Slovenia,en,svn
Словения,ru,svn
Solomon Islands,en,slb
Соломоновы острова,ru,slb
Соломоновы о-ва,ru,slb
Соломоновы Острова,ru,slb
South Africa,en,zaf
ЮАР,ru,zaf
Южная Африка,ru,zaf
South Korea,en,kor
Южная Корея,ru,kor
South Ossetia,en,sos
Южная Осетия,ru,sos
South Sudan,en,ssd
Южный Судан,ru,ssd
Spain,en,esp
Испания,ru,esp
Sri Lanka,en,lka
Шри-Ланка,ru,lka
Шри Ланка,ru,lka
Sudan,en,sdn
Судан,ru,sdn
Suriname,en,sur
Суринам,ru,sur
Sweden,en,swe
Швеция,ru,swe
Switzerland,en,che
Швейцария,ru,che
Syria,en,syr
Сирия,ru,syr
Taiwan,en,twn
Тайвань,ru,twn
Tajikistan,en,tjk
Таджикистан,ru,tjk
Tanzania,en,tza
Танзания,ru,tza
Thailand,en,tha
Таиланд,ru,tha
Togo,en,tgo
Того,ru,tgo
Tonga,en,ton
Тонга,ru,ton
Trinidad and Tobago,en,tto
Тринидад и Тобаго,ru,tto
Tunisia,en,tun
Тунис,ru,tun
Turkey,en,tur
Турция,ru,tur
Turkmenistan,en,tkm
Туркменистан,ru,tkm
Туркмения,ru,tkm
Tuvalu,en,tuv
Тувалу,ru,tuv
Uganda,en,uga
Уганда,ru,uga
Ukraine,en,ukr
Украина,ru,ukr
United Arab Emirates,en,are
UAE,en,are
Объединенные Арабские Эмираты,ru,are
ОАЭ,ru,are
United Kingdom,en,gbr
UK,en,gbr
England,en,gbr
Great Britain,en,gbr
Великобритания,ru,gbr
Соединенное Королевство,ru,gbr
Англия,ru,gbr
United States of America,en,usa
USA,en,usa
America,en,usa
United States Of America,en,usa
Соединенные Штаты Америки,ru,usa
США,ru,usa
Америка,ru,usa
Uruguay,en,ury
Уругвай,ru,ury
Uzbekistan,en,uzb
Узбекистан,ru,uzb
Vanuatu,en,vut
Вануату,ru,vut
Venezuela,en,ven
Венесуэла,ru,ven
Vietnam,en,vnm
Вьетнам,ru,vnm
Yemen,en,yem
Йемен,ru,yem
Zambia,en,zmb
Замбия,ru,zmb
Zimbabwe,en,zwe
Republic of Zimbabwe,en,zwe
Зимбабве,ru,zwe
Республика Зимбабве,ru,zwe
Антильские острова,ru,ant
Brunei,en,brn
Вавилон,ru,xba
Babylon,en,xba
Parthia,en,xpt
Парфия,ru,xpt
Фригия,ru,xph
Phrygia,en,xph
Republic of South Africa,en,zaf
Transoxiana (Timurid Empire),en,xtm
Мавераннахр (империя Тимуридов),ru,xtm
Иудея,ru,xjd
Древняя Русь,ru,xrs
