feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
K-3,Расположение артикля,listed,K-3-1,Препозиция,,
K-4,Постановка артикля в именной группе,listed,K-4-1,Единый артикль для всей именной группы,,
K-5,"Грамматические категории, выражаемые артиклем",listed,K-5-9,"Определенность, род и число",,
K-6,Количество типов спряжения глаголов,listed,K-6-2,Два типа спряжения,,
K-7,Типы глагольного согласования,listed,K-7-2,Субъектное,,
K-8,"Согласовательные категории, выражаемые причастием",not_stated,,,,
K-9,"Время, выражаемое причастием",not_stated,,,,
K-10,"Грамматические категории, выражаемые наречием",not_stated,,,,
K-11,"Согласовательные категории, выражаемые прилагательным",listed,K-11-1,Отсутствуют,,
K-12,Возможность кумулятивного выражения нескольких категорий в прилагательном,not_stated,,,,
K-13,Атрибутивное согласование прилагательных,listed,K-13-2,Отсутствует,,
K-14,Типы атрибутивного согласования,listed,K-14-1,Атрибутивное согласование отсутствует,,
K-15,"Изменяемые грамматические категории, выражаемые существительным",listed,K-15-4,Число,,
K-16,Кумулятивное выражение нескольких категорий в существительном,not_stated,,,,
K-17,Средства словоизменения,custom,,Аффиксы и морфонологические мутации анлаута у существительного и глагола,,
K-18,Модель словоформы,listed,K-18-4,Преимущественно или только суффиксальная,,
L-1,Способы словообразования,listed,L-1-6,Аффиксация,,
L-2,"Аффиксы, участвующие в словообразовании",listed,L-2-2,Суффиксы,,
L-3,Отношения между соединяемыми основами при сложении основ,not_stated,,,,
M-1,Стратегия кодирования глагольных актантов,listed,M-1-3,Аккузативная,,
M-2,Фиксированность порядка слов,not_stated,,,,
M-3,Основной порядок слов в предложении,custom,,VSO/SVO,,
M-4,Порядок определения и определяемого,not_stated,,,Данных нет.,
M-5,Опущение местоименного подлежащего в неэллиптических предложениях,not_stated,,,,
N-1,Линейный порядок компонентов в сложном предложении,not_stated,,,,
N-2,Особенности подчиненного компонента в сложном предложении,not_stated,,,,
N-3,Оформления сказуемого в придаточном предложении,not_stated,,,,
N-4,Тип построения сложного предложения,listed,N-4-4,Сочинение и подчинение,,
N-5,Тип связи между элементами сложного предложения,listed,N-5-1,Преобладает союзная,,
_aux,,not_applicable,,,А.К.Зотова / О.И.Романова,
