feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
K-3,Расположение артикля,not_applicable,,,,
K-4,Постановка артикля в именной группе,not_applicable,,,,
K-5,"Грамматические категории, выражаемые артиклем",not_applicable,,,,
K-6,Количество типов спряжения глаголов,listed,K-6-1,Единый тип спряжения,,
K-7,Типы глагольного согласования,not_stated,,,,
K-8,"Согласовательные категории, выражаемые причастием",custom,,Нет данных,,
K-9,"Время, выражаемое причастием",custom,,нет данных,,
K-10,"Грамматические категории, выражаемые наречием",custom,,нет данных,,
K-11,"Согласовательные категории, выражаемые прилагательным",listed,K-11-10,"Род, число и падеж",,
K-12,Возможность кумулятивного выражения нескольких категорий в прилагательном,listed,K-12-7,"Рода, числа и падежа",,
K-13,Атрибутивное согласование прилагательных,listed,K-13-1,Всегда присутствует,,
K-14,Типы атрибутивного согласования,listed,K-14-11,"По падежу, роду и числу",,
K-15,"Изменяемые грамматические категории, выражаемые существительным",listed,K-15-7,Падеж и число,,
K-16,Кумулятивное выражение нескольких категорий в существительном,listed,K-16-11,"Рода / согласовательного класса, числа и падежа",,
K-17,Средства словоизменения,listed,K-17-2,Аффиксы,,
K-18,Модель словоформы,listed,K-18-1,Префиксально-суффиксальная,,
L-1,Способы словообразования,listed,L-1-6,Аффиксация,,
L-2,"Аффиксы, участвующие в словообразовании",listed,L-2-3,Префиксы и суффиксы,,
L-3,Отношения между соединяемыми основами при сложении основ,not_stated,,,,
M-1,Стратегия кодирования глагольных актантов,not_stated,,,,
M-2,Фиксированность порядка слов,listed,M-2-1,Жесткий,,
M-3,Основной порядок слов в предложении,listed,M-3-2,SOV,,
M-4,Порядок определения и определяемого,listed,M-4-2,Определение следует за определяемым,,
M-5,Опущение местоименного подлежащего в неэллиптических предложениях,not_stated,,,,
N-1,Линейный порядок компонентов в сложном предложении,not_stated,,,,
N-2,Особенности подчиненного компонента в сложном предложении,not_stated,,,,
N-3,Оформление сказуемого в придаточном предложении,not_stated,,,,
N-4,Тип построения сложного предложения,not_stated,,,,
N-5,Тип связи между элементами сложного предложения,not_stated,,,,
