feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
K-1,Склонение личных местоимений,listed,K-1-3,Собственный тип склонения,,
K-2,Типы артиклей,listed,K-2-4,Определенные и неопределенные,,
K-3,Расположение артикля,listed,K-3-1,Препозиция,,
K-4,Постановка артикля в именной группе,listed,K-4-1,Единый артикль для всей именной группы,,
K-5,"Грамматические категории, выражаемые артиклем",listed,K-5-9,"Определенность, род и число",Неопределенный артикль не имеет форм множественного числа.,
K-6,Количество типов спряжения глаголов,listed,K-6-3,Три типа спряжения,,
K-7,Типы глагольного согласования,listed,K-7-2,Субъектное,,
K-8,"Согласовательные категории, выражаемые причастием",not_stated,,,,
K-9,"Время, выражаемое причастием",not_stated,,,,
K-10,"Грамматические категории, выражаемые наречием",not_stated,,,,
K-11,"Согласовательные категории, выражаемые прилагательным",listed,K-11-7,Род и число,,
K-12,Возможность кумулятивного выражения нескольких категорий в прилагательном,listed,K-12-5,Рода и числа,,
K-13,Атрибутивное согласование прилагательных,listed,K-13-1,Всегда присутствует,,
K-14,Типы атрибутивного согласования,listed,K-14-9,По роду и числу,,
K-15,"Изменяемые грамматические категории, выражаемые существительным",listed,K-15-4,Число,,
K-16,Кумулятивное выражение нескольких категорий в существительном,listed,K-16-1,Отсутствует,,
K-17,Средства словоизменения,listed,K-17-5,Внутренняя флексия и аффиксы,,
K-18,Модель словоформы,listed,K-18-1,Префиксально-суффиксальная,,
L-1,Способы словообразования,listed,L-1-12,Аффиксация и словосложение,,
L-2,"Аффиксы, участвующие в словообразовании",listed,L-2-2,Суффиксы,,
L-3,Отношения между соединяемыми основами при сложении основ,not_stated,,,,
M-1,Стратегия кодирования глагольных актантов,listed,M-1-3,Аккузативная,,
M-2,Фиксированность порядка слов,custom,,Порядок слов относительно свободный,,
M-3,Основной порядок слов в предложении,listed,M-3-1,SVO,,
M-4,Порядок определения и определяемого,not_stated,,,,
M-5,Опущение местоименного подлежащего в неэллиптических предложениях,listed,M-5-1,Возможно,,
N-1,Линейный порядок компонентов в сложном предложении,listed,N-1-3,Не фиксирован,,
N-2,Особенности подчиненного компонента в сложном предложении,not_stated,,,,
N-3,Оформления сказуемого в придаточном предложении,listed,N-3-3,Финитные и нефинитные формы,,
N-4,Тип построения сложного предложения,listed,N-4-4,Сочинение и подчинение,,
N-5,Тип связи между элементами сложного предложения,listed,N-5-3,Союзная и бессоюзная,,
_aux,,not_applicable,,,А.К.Зотова / О.И.Романова,
