feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
K-6,Количество типов спряжения глаголов,listed,K-6-1,Единый тип спряжения,,
K-7,Типы глагольного согласования,listed,K-7-2,Субъектное,,
K-8,"Согласовательные категории, выражаемые причастием",listed,K-8-4,Род,Причастие отсутствует. Есть неизменяемая неличная форма глагола - причастное имя.,
K-9,"Время, выражаемое причастием",not_stated,,,,
K-10,"Грамматические категории, выражаемые наречием",not_stated,,,,
K-11,"Согласовательные категории, выражаемые прилагательным",not_stated,,,,
K-12,Возможность кумулятивного выражения нескольких категорий в прилагательном,not_stated,,,,
K-13,Атрибутивное согласование прилагательных,not_stated,,,,
K-14,Типы атрибутивного согласования,listed,K-14-1,Атрибутивное согласование отсутствует,,
K-15,"Изменяемые грамматические категории, выражаемые существительным",listed,K-15-7,Падеж и число,,
K-16,Кумулятивное выражение нескольких категорий в существительном,listed,K-16-1,Отсутствует,,
K-17,Средства словоизменения,listed,K-17-8,Наращение/ усечение основы и аффиксы,,
K-18,Модель словоформы,listed,K-18-4,Преимущественно или только суффиксальная,,
L-1,Способы словообразования,custom,,"Аффиксация, конверсия и количественное чередование гласных в последнем слоге",,
L-2,"Аффиксы, участвующие в словообразовании",listed,L-2-2,Суффиксы,,
L-3,Отношения между соединяемыми основами при сложении основ,not_stated,,,,
M-1,Стратегия кодирования глагольных актантов,listed,M-1-3,Аккузативная,,
M-2,Фиксированность порядка слов,listed,M-2-1,Жесткий,,
M-3,Основной порядок слов в предложении,listed,M-3-2,SOV,,
M-4,Порядок определения и определяемого,listed,M-4-1,Определение предшествует определяемому,,
M-5,Опущение местоименного подлежащего в неэллиптических предложениях,not_stated,,,,
N-1,Линейный порядок компонентов в сложном предложении,listed,N-1-1,Главное предшествует придаточному,,
N-2,Особенности подчиненного компонента в сложном предложении,listed,N-2-4,Особое оформление сказуемого,,
N-3,Оформления сказуемого в придаточном предложении,listed,N-3-2,Нефинитные формы,,
N-4,Тип построения сложного предложения,listed,N-4-2,Подчинение,,
N-5,Тип связи между элементами сложного предложения,custom,,Бессоюзная,,
_aux,,not_applicable,,,А.К.Зотова / О.И.Романова,
