feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
K-2,Типы артиклей,listed,K-2-1,Артикли отсутствуют,,
K-3,Расположение артикля,not_applicable,,,,
K-4,Постановка артикля в именной группе,not_applicable,,,,
K-5,"Грамматические категории, выражаемые артиклем",not_applicable,,,,
K-6,Количество типов спряжения глаголов,listed,K-6-2,Два типа спряжения,,
K-7,Типы глагольного согласования,listed,K-7-2,Субъектное,,
K-8,"Согласовательные категории, выражаемые причастием",not_stated,,,Данных нет.,
K-9,"Время, выражаемое причастием",not_stated,,,Семантика причастий изучена плохо.,
K-10,"Грамматические категории, выражаемые наречием",listed,K-10-1,Отсутствуют,,
K-11,"Согласовательные категории, выражаемые прилагательным",listed,K-11-1,Отсутствуют,,
K-12,Возможность кумулятивного выражения нескольких категорий в прилагательном,not_stated,,,,
K-13,Атрибутивное согласование прилагательных,listed,K-13-2,Отсутствует,,
K-14,Типы атрибутивного согласования,not_stated,,,,
K-15,"Изменяемые грамматические категории, выражаемые существительным",listed,K-15-7,Падеж и число,,
K-16,Кумулятивное выражение нескольких категорий в существительном,listed,K-16-1,Отсутствует,,
K-17,Средства словоизменения,listed,K-17-2,Аффиксы,,
K-18,Модель словоформы,listed,K-18-4,Преимущественно или только суффиксальная,,
L-1,Способы словообразования,listed,L-1-12,Аффиксация и словосложение,,
L-2,"Аффиксы, участвующие в словообразовании",listed,L-2-2,Суффиксы,,
L-3,Отношения между соединяемыми основами при сложении основ,not_stated,,,,
M-1,Стратегия кодирования глагольных актантов,listed,M-1-3,Аккузативная,,
M-2,Фиксированность порядка слов,listed,M-2-1,Жесткий,,
M-3,Основной порядок слов в предложении,listed,M-3-2,SOV,,
M-4,Порядок определения и определяемого,listed,M-4-1,Определение предшествует определяемому,,
M-5,Опущение местоименного подлежащего в неэллиптических предложениях,not_stated,,,,
N-1,Линейный порядок компонентов в сложном предложении,not_stated,,,,
N-2,Особенности подчиненного компонента в сложном предложении,not_stated,,,Т.я. имеет тенденцию к монофинитности. Придаточные предложения заменяются оборотами с нефинитными формами глагола.,
N-3,Оформление сказуемого в придаточном предложении,listed,N-3-3,Финитные и нефинитные формы,,
N-4,Тип построения сложного предложения,listed,N-4-2,Подчинение,,
N-5,Тип связи между элементами сложного предложения,custom,,Клитики внутри финитной глагольной формы,,
_aux,,not_applicable,,,А.К.Зотова / О.И.Романова,
