feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
H-5,Другие способы оформления посессивного отношения,listed,H-5-14,"Соположение, притяжательное местоимение, притяжательные прилагательные и притяжательные аффиксы",,
H-6,Способ выражения пространственных отношений,listed,H-6-6,Предлоги,,
H-7,Маркирование зависимостного имени в генетивной конструкции,not_stated,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен,not_stated,,,,
H-9,Наличие вторичных падежей,not_stated,,,,
I-1,Способ выражения залоговых форм в глаголе,not_stated,,,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,
I-3,Двойные залоговые формы,not_stated,,,,
I-4,Совпадение залоговых форм,not_stated,,,,
I-5,Основные временные противопоставления,not_stated,,,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,
I-7,Способ выражения временных категорий,listed,I-7-3,Вспомогательный глагол и аффиксы,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-2,Вид и время,,
I-9,Маркирование лица в глаголе в настоящем времени,not_stated,,,,
I-10,Маркер переходности,not_stated,,,,
J-1,Наличие местоименных слов,not_stated,,,,
J-2,Способы выражения дейктических категорий,not_stated,,,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",not_stated,,,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",not_stated,,,,
J-5,Морфологическое выражение определенности/неопределенности имени,listed,J-5-9,Различное оформление падежа у определенного и неопределенного объекта,,
J-6,"Части речи, выражающие определенность-неопределенность имени",listed,J-6-2,Местоимения,,
J-7,Способы выражения форм вежливости,not_stated,,,,
J-8,Способы выражения отрицания,listed,J-8-3,Отрицательные частицы,,
J-9,Позиция показателя отрицания,listed,J-9-3,Препозиция,,
K-1,Склонение личных местоимений,listed,K-1-1,Местоимения не склоняются,,
K-2,Типы артиклей,listed,K-2-1,Артикли отсутствуют,,
K-3,Расположение артикля,not_stated,,,,
K-4,Постановка артикля в именной группе,not_stated,,,,
K-5,"Грамматические категории, выражаемые артиклем",not_stated,,,,
K-6,Количество типов спряжения глаголов,not_stated,,,,
K-7,Типы глагольного согласования,listed,K-7-2,Субъектное,,
K-8,"Согласовательные категории, выражаемые причастием",not_stated,,,,
K-9,"Время, выражаемое причастием",not_stated,,,,
K-10,"Грамматические категории, выражаемые наречием",not_stated,,,,
K-11,"Согласовательные категории, выражаемые прилагательным",listed,K-11-12,"Род, число и состояние",,
K-12,Возможность кумулятивного выражения нескольких категорий в прилагательном,not_stated,,,,
K-13,Атрибутивное согласование прилагательных,listed,K-13-1,Всегда присутствует,,
K-14,Типы атрибутивного согласования,listed,K-14-18,"По роду, состоянию и числу",,
K-15,"Изменяемые грамматические категории, выражаемые существительным",listed,K-15-9,Число и состояние,,
K-16,Кумулятивное выражение нескольких категорий в существительном,not_stated,,,,
K-17,Средства словоизменения,not_stated,,,,
K-18,Модель словоформы,listed,K-18-1,Префиксально-суффиксальная,,
L-1,Способы словообразования,listed,L-1-13,Аффиксация и внутренняя флексия,,
L-2,"Аффиксы, участвующие в словообразовании",listed,L-2-15,"Суффиксы, префиксы, циркумфиксы и трансфиксы",,
L-3,Отношения между соединяемыми основами при сложении основ,not_stated,,,,
M-1,Стратегия кодирования глагольных актантов,not_stated,,,,
M-2,Фиксированность порядка слов,listed,M-2-2,Свободный,,
M-3,Основной порядок слов в предложении,listed,M-3-2,SOV,,
M-4,Порядок определения и определяемого,listed,M-4-2,Определение следует за определяемым,,
M-5,Опущение местоименного подлежащего в неэллиптических предложениях,listed,M-5-1,Возможно,,
N-1,Линейный порядок компонентов в сложном предложении,listed,N-1-3,Не фиксирован,,
N-2,Особенности подчиненного компонента в сложном предложении,not_stated,,,,
N-3,Оформления сказуемого в придаточном предложении,not_stated,,,,
N-4,Тип построения сложного предложения,not_stated,,,,
N-5,Тип связи между элементами сложного предложения,listed,N-5-1,Преобладает союзная,,
