id,feature_id,en,ru,description_formatted_en,description_formatted_ru
A-12-3,A-12,Present for central vowels,В среднем ряду,,
A-12-4,A-12,Present for back vowels,В заднем ряду,,
A-12-5,A-12,Present for front and central vowels,В переднем и среднем рядах,,
A-12-6,A-12,Present for front and back vowels,В переднем и заднем рядах,,
A-12-7,A-12,Present for central and back vowels,В среднем и заднем рядах,,
A-12-8,A-12,"Present for front, central and back vowels","В переднем, среднем и заднем рядах",,
A-13-1,A-13,No diphthongs and triphthongs,Дифтонги и трифтонги отсутствуют,,
A-13-2,A-13,Only diphthongs present,Только дифтонги,,
A-13-3,A-13,Both diphthongs and triphthongs present,Дифтонги и трифтонги,,
A-14-1,A-14,Rising (ascending),Восходящие,,
A-14-2,A-14,Falling (descending),Нисходящие,,
A-14-3,A-14,Rising (ascending) and falling (descending),Восходящие и нисходящие,,
A-14-4,A-14,Even and falling (descending),Равновесные и нисходящие,,
A-14-5,A-14,Even,Равновесные,,
A-15-1,A-15,Opposition by presence and absence of voice,Противопоставление по звонкости/глухости,,
A-15-2,A-15,Opposition by aspiration,Противопоставление по аспирации,,
A-15-3,A-15,Ejectives present,Глоттализованные согласные,,
A-15-4,A-15,Clicks present,Щелкающие согласные,,
A-15-5,A-15,Geminated consonants present,Геминированные согласные,,
A-15-6,A-15,Opposition by voice presence/absence and by aspiration,Противопоставления по звонкости/глухости и по аспирации,,
A-15-7,A-15,"Opposition by voice presence/absence, ejectives present","Противопоставление по звонкости/глухости, глоттализованные согласные",,
A-15-8,A-15,Ejective consonants present,Абруптивные согласные,,
A-15-9,A-15,Opposition by voice presence/absence and softness,Противопоставления по звонкости/глухости и твердости/мягкости,,
A-15-10,A-15,Strong and weak consonants present,Сильные и слабые согласные,,
A-15-11,A-15,Emphatic consonants present,Эмфатические согласные,,
A-15-12,A-15,Opposition by strain,Противопоставление по напряженности и ненапряженности,,
A-15-13,A-15,"Opposition by voice presence/absence, emphatic consonants present",Противопоставление по звонкости/глухости и эмфатические согласные,,
A-15-14,A-15,Opposition by voice presence/absence and strain,Противопоставления по звонкости/глухости и напряженности/ненапряженности,,
A-15-15,A-15,Opposition by voice presence/absence and labialization,Противопоставления по звонкости/глухости и лабиализации,,
A-15-16,A-15,Opposition by voice presence/absence and palatalization,Противопоставления по звонкости/глухости и наличию/отсутствию палатализации,,
A-15-17,A-15,Opposition by voice presence/absence and intensity,Противопоставления по звонкости/глухости и интенсивности,,
A-15-18,A-15,"Strong (voiceless), weak (voiced) and geminate consonants present","Сильные (глухие), слабые (звонкие) и геминированные согласные",,
A-15-19,A-15,Emphatic and implosive consonants present,Эмфатические и имплозивные согласные,,
A-15-20,A-15,Ejective and preruptive consonants present,Абруптивные и преруптивные согласные,,
A-16-1,A-16,Plosives and fricatives,Взрывные и фрикативные,,
A-16-2,A-16,Plosives and affricates,Взрывные и аффрикаты,,
A-16-3,A-16,"Plosives, affricates and fricatives","Взрывные, аффрикаты и фрикативные",,
A-17-1,A-17,"Labial, coronal and velar/uvular","Губные, переднеязычные и велярные/увулярные",,
A-17-2,A-17,"Labial, coronal, palatal, guttural and laryngeal","Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,
A-17-3,A-17,"Labial, coronal, palatal and velar/uvular","Губные, переднеязычные, палатальные и велярные/увулярные",,
A-17-4,A-17,"Labial, coronal, velar/uvular and laryngeal","Губные, переднеязычные, велярные/увулярные и ларингальные",,
A-18-1,A-18,Only bilabial,Только губно-губные,,
A-18-2,A-18,Bilabial and labiodental,Губно-губные и губно-зубные,,
A-19-1,A-19,Dental,Дентальные,,
A-19-2,A-19,Interdental,Интердентальные,,
A-19-3,A-19,Alveolar,Альвеолярные,,
A-19-4,A-19,Postalveolar,Постальвеолярные,,
A-19-5,A-19,Retroflex,Ретрофлексные,,
A-19-6,A-19,Dental and alveolar,Дентальные и альвеолярные,,
A-19-7,A-19,Dental and interdental,Дентальные и интердентальные,,
A-19-8,A-19,Dental and retroflex,Дентальные и ретрофлексные,,
A-19-9,A-19,Dental and postlaveolar,Дентальные и постальвеолярные,,
A-19-10,A-19,Dental and alveopalatal,Дентальные и альвео-палатальные,,
A-19-11,A-19,"Dental, interdental and alveolar","Дентальные, интердентальные и альвеолярные",,
A-19-12,A-19,"Dental, interdental and retroflex","Дентальные, интердентальные и ретрофлексные",,
A-19-13,A-19,"Dental, prepalatal and alveopalatal","Дентальные, препалатальные и альвео-палатальные",,
A-19-14,A-19,"Dental, alveolar and postalveolar","Дентальные, альвеолярные и постальвеолярные",,
A-19-15,A-19,"Dental, interdental and alveopalatal","Дентальные, интердентальные и альвео-палатальные",,
A-19-16,A-19,Alveolar and postalveolar,Альвеолярные и постальвеолярные,,
A-19-17,A-19,Alveolar and retroflex,Альвеолярные и ретрофлексные,,
A-19-18,A-19,"Alveolar, retroflex and alveopalatal","Альвеолярные, ретрофлексные и альвео-палатальные",,
A-19-19,A-19,"Dental, alveolar, postalveolar, and retroflex","Дентальные, альвеолярные, постальвеолярные и ретрофлексные",,
A-19-20,A-19,"Dental, alveolar, and retroflex","Дентальные, альвеолярные и ретрофлексные",,
A-19-21,A-19,Dental-alveolar and palatal,Дентально-альвеолярные и палатальные,,
A-19-22,A-19,"Dental, alveolar and dental-alveolar","Дентальные, альвеолярные и дентально-альвеолярные",,
A-19-23,A-19,Dental-alveolar,Дентально-альвеолярные,,
A-19-24,A-19,Alveolar and alveopalatal,Альвеолярные и альвео-палатальные,,
A-19-25,A-19,Interdental and dental-alveolar,Интердентальные и дентально-альвеолярные,,
A-19-26,A-19,"Dental, alveolar and palatal","Дентальные, альвеолярные и палатальные",,
A-19-27,A-19,"Dental, alveolar and alveo-palatal","Дентальные, альвеолярные и альвео-палатальные",,
A-19-28,A-19,Dental-alveolar and postalveolar,Дентально-альвеолярные и постальвеолярные,,
A-19-29,A-19,"Dental, alveolar and prepalatal","Дентальные, альвеолярные и препалатальные",,
A-19-30,A-19,Dental and front-palatal,Дентальные и передненебные,,
A-19-31,A-19,"Dental, alveolar, and front-palatal","Дентальные, альвеолярные и передненебные",,
A-19-32,A-19,"Dental, interdental, alveolar, and front-palatal","Дентальные, интердентальные, альвеолярные и передненебные",,
A-20-1,A-20,Velar,Велярные,,
A-20-2,A-20,Uvular,Велярно-увулярные,,
A-20-3,A-20,Velar and uvular,Велярные и увулярные,,
A-21-1,A-21,Only pharyngeal,Только фарингальные,,
A-21-2,A-21,Only glottal,Только глоттальные,,
A-21-3,A-21,Both pharyngeal and glottal,Фарингальные и глоттальные,,
A-22-1,A-22,Absent,Отсутствуют,,
A-22-2,A-22,By labialization,По лабиализации,,
A-22-3,A-22,By palatalization,По палатализации,,
A-22-4,A-22,By pharyngealization,По фарингализации,,
A-22-5,A-22,By labialization and palatalization,По лабиализации и палатализации,,
A-22-6,A-22,By labialization and pharyngealization,По лабиализации и фарингализации,,
A-22-7,A-22,"By labialization, palatalization and pharyngealization","По лабиализации, палатализации и фарингализации",,
A-22-8,A-22,By palatalization and pharyngealization,По палатализации и фарингализации,,
A-22-9,A-22,By palatalization and velarization,По палатализации и веляризации,,
A-22-10,A-22,By labialization and nasalisation,По лабиализации и назализации,,
A-23-1,A-23,Nasal and liquid,Назальные и плавные,,
A-23-2,A-23,"Nasal, liquid and vibrant","Назальные, плавные и вибранты",,
A-23-3,A-23,"Nasal, liquid and glide","Назальные, плавные и глайды",,
A-23-4,A-23,"Nasal, vibrant and glide","Назальные, вибранты и глайды",,
A-23-5,A-23,"Liquid, vibrant and glide","Плавные, вибранты и глайды",,
A-23-6,A-23,"Nasal, liquid, vibrant and glide","Назальные, плавные, вибранты и глайды",,
A-23-7,A-23,Nasal and glide,Назальные и глайды,,
A-23-8,A-23,"Approximant, nasal, vibrant and lateral","Аппроксиманты, назальные, вибранты и латеральные",,
A-23-9,A-23,Nasal and approximant,Назальные и аппроксиманты,,
A-23-10,A-23,"Nasal, liquid and lateral","Назальные, плавные и латеральные",,
A-23-11,A-23,"Nasal, vibrant, lateral and glide","Назальные, вибранты, латеральные и глайды",,
A-23-12,A-23,"Nasal, vibrant and lateral","Назальные, вибранты и латеральные",,
A-23-13,A-23,Occlusive and approximant,Смычные и аппроксиманты,,
A-23-14,A-23,"Occlusive, approximant and pharyngeal","Смычные, аппроксиманты и фарингальные",,
A-23-15,A-23,"Nasal, vibrant, lateral and liquid","Назальные, вибранты, латеральные и плавные",,
A-24-1,A-24,Coronal,Переднеязычные,,
A-24-2,A-24,Dorsal,Среднеязычные,,
A-24-3,A-24,Guttural,Заднеязычные,,
A-24-4,A-24,Lateral,Латеральные,,
A-24-5,A-24,Retroflex,Ретрофлексные,,
A-24-6,A-24,Labial and guttural,Лабиальные и заднеязычные,,
A-24-7,A-24,Labial and coronal,Лабиальные и переднеязычные,,
A-24-8,A-24,Coronal and guttural,Переднеязычные и заднеязычные,,
A-24-9,A-24,Coronal and postuvular,Переднеязычные и постувулярные,,
A-24-10,A-24,Dorsal and guttural,Среднеязычные и заднеязычные,,
A-24-11,A-24,"Labial, coronal, dorsal, guttural and postuvular","Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,
A-24-12,A-24,"Labial, coronal, guttural and postuvular","Лабиальные, переднеязычные, заднеязычные и постувулярные",,
A-24-13,A-24,"Labial, coronal, dorsal and postuvular","Лабиальные, переднеязычные, среднеязычные и постувулярные",,
A-24-14,A-24,"Labial, coronal and dorsal","Лабиальные, переднеязычные и среднеязычные",,
A-24-15,A-24,"Coronal, dorsal and guttural","Переднеязычные, среднеязычные и заднеязычные",,
A-24-16,A-24,"Labial, coronal and guttural","Лабиальные, переднеязычные и заднеязычные",,
A-24-17,A-24,"Labial, coronal, dorsal and guttural","Лабиальные, переднеязычные, среднеязычные и заднеязычные",,
A-24-18,A-24,Coronal and dorsal,Переднеязычные и среднеязычные,,
A-24-19,A-24,"Labial, coronal (apical and pre-dorsal), and front-palatal","Лабиальные, переднеязычные (апикальные и предорсальные) и передненебные",,
A-24-20,A-24,"Labial, alveolar, front-palatal, and mid-palatal","Лабиальные, альвеолярные, передненебные и средненебные",,
A-25-1,A-25,Absent,Отсутствуют,,
A-25-2,A-25,By vocalization,По звонкости,,
A-25-3,A-25,By palatalization,По палатализации,,
A-25-4,A-25,By labialization,По лабиализации,,
A-25-5,A-25,By intensity,По интенсивности,,
A-25-6,A-25,By pharyngealization,По фарингализации,,
A-25-7,A-25,By length,По долготе,,
A-25-8,A-25,By vocalization and pharyngealization,По звонкости и фарингализации,,
A-25-9,A-25,"By vocalization, labialization and length","По звонкости, лабиализации и долготе",,
A-25-10,A-25,By vocalization and length,По звонкости и долготе,,
A-25-11,A-25,By palatalization and labialization,По палатализации и лабиализации,,
A-25-12,A-25,By palatalization and intensity,По палатализации и интенсивности,,
A-25-13,A-25,By palatalization and pharyngealization,По палатализации и фарингализации,,
A-25-14,A-25,By palatalization and length,По палатализации и долготе,,
A-25-15,A-25,By pharyngealization and length,По фарингализации и долготе,,
A-25-16,A-25,By nasalization,По назализации,,
A-25-17,A-25,By vocalization and palatalization,По звонкости и палатализации,,
A-25-18,A-25,By vocalization and nasalization,По палатализации и назализации,,
A-25-19,A-25,By aspiration,По аспирации,,
A-26-1,A-26,Mid and lateral,Средние и боковые,,
B-1-1,B-1,Stress,Ударение,,"<p>Выделение одной из сегментных единиц языка (слога, слова) каким-то из акустических средств.</p>"
B-1-2,B-1,Tones,Тоны,,"<p>Значимое контрастное варьирование высотно-мелодических голосовых характеристик при произнесении единиц языка (в этот пункт включаются только те языки, где разные слоги могут иметь независимые тоны, а не только ударный. В случае только ударного выбирается пункт Β-1-4).</p>"
B-1-3,B-1,Register,Регистр,,"<p>Некоторые языки Юго-Восточной Азии, например, монский,  и языки манде, например, язык гбан.</p>"
B-1-4,B-1,Stress and tones,Ударение и тоны,,"<p>Например, сербохорватский, японский, древнегреческий.</p>"
B-2-1,B-2,Syllable,Слог,,"<p>Минимальная фонетико-фонологическая единица, компоненты которой произносятся слитно или элементы которой тесно связаны между собой, занимающая промежуточное положение между звуком и речевым тактом.</p>"
B-2-2,B-2,Mora,Мора,,"<p>Минимальная единица просодии некоторых языков, ее границы совпадают с границами слога только для открытых слогов с краткими гласными.</p>"
B-2-3,B-2,Word,Слово,,"<p>Просодическое слово, слог или совокупность слогов, представляющие минимальную лексическую единицу в языке, например, в согдийском.</p>"
B-2-4,B-2,Syllable or word,Слог или слово,,"<p>Например, норвежский или шведский.</p>"
B-2-5,B-2,Sesquisyllable,Полутораслог,,"<p>Для языков Юго-Восточной Азии, вместо стопы.</p>"
B-2-6,B-2,Syllabic vowel,Слогообразующий гласный,,"<p>В отличие от слога значимо в случае дифтонгов и трифтонгов, когда второй и третий гласный не являются слогообразующими и не несут тона, например, для китайского и родственных ему языков.</p>"
B-2-7,B-2,Foot,Стопа,,"<p>Признаковая стопа (featural foot), малое фонологическое слово, свойственно для ряда языков Юго-Восточной Азии, и языков манде (например, гбан, бен, яурэ).</p>"
B-3-1,B-3,Phonological,Фонологическая,,<p>Правила выбора гласной (акцентной вершины словоформы) при постановке просодической единицы могут быть сформулированы исключительно в терминах фонологического представления.</p>
B-3-2,B-3,Non-phonological,Нефонологическая,,"<p>Или иначе морфонологическая: для выбора гласной (акцентной вершины словоформы) при постановке просодической единицы необходима информация о глубинных уровнях представления словоформы, например морфологического характера, о морфемном составе или категориальных характеристиках.</p>"
B-3-3,B-3,Phonological and non-phonological,Фонологическая и нефонологическая,,<p>Есть и такой и другой тип просодической единицы.</p>
B-4-1,B-4,Dynamic,Динамическое,,"<p>Экспираторное, силовое — характеризуется интенсивностью напряжения голосовых связок и силой выдоха.</p>"
B-4-2,B-4,Quantitative,Количественное,,"<p>Квантитативное, долготное, оно же чаще реализуется как количественно-динамическое и характеризуется длительностью.</p>"
B-4-3,B-4,Pitch-accent,Музыкальное,,"<p>Мелодическое, тоновое — характеризуется высотой голосового тона.</p>"
B-4-4,B-4,Pitch-accent and dynamic,Музыкально-динамическое,,"<p>Смешанный вид ударения, сочетающий признаки экспираторного и мелодического.</p>"
B-4-5,B-4,Quantitative-dynamic,Количественно-динамическое,,
B-5-1,B-5,Flexible,Свободное,,<p>Может падать на любой слог.</p>
B-5-2,B-5,Fixed,Связанное,,"<p>Фиксированное, падает на определенный слог или на зону локации, ограничено конкретными слогами.</p>"
B-6-1,B-6,Strictly fixed,Строго фиксированное,,"<p>Одноместное, имеющее единственное постоянное место.</p>"
B-6-2,B-6,Limited,Ограниченное,,"<p>Разноместное, имеющее зону локации.</p>"
B-7-1,B-7,Flexible,Подвижное,,<p>В разных формах слова на разные слоги.</p>
B-7-2,B-7,Fixed,Неподвижное,,"<p>Постоянное, не меняет свое место при изменении слова по формам.</p>"
B-7-3,B-7,Flexible and fixed,Подвижное и неподвижное,,"<p>В одних парадигмах нет изменений ударения, а в других есть, например в русском языке в парадигме для слова “окно” меняется место ударения, а в “яблоко” — нет.</p>"
B-8-1,B-8,First syllable,На первом слоге от начала слова,,<p>Инициальное ударение.</p>
B-8-2,B-8,Second syllable,На втором слоге от начала слова,,
B-8-3,B-8,Third syllable,На третьем слоге от начала слова,,
B-8-4,B-8,Antepenult,На третьем слоге от конца слова,,"<p>Пропарокситоническое ударение, антепенультима.</p>"
B-8-5,B-8,Penult,На втором слоге от конца слова,,"<p>Парокситоническое ударение, пенультима.</p>"
B-8-6,B-8,Ultima,На последнем слоге в слове,,<p>Окситоническое ударение.</p>
B-8-7,B-8,First syllable of root,На первом слоге корня,,
B-8-8,B-8,First syllable of stem,На первом слоге основы,,
B-8-9,B-8,Last syllable of stem or root,На последнем слоге основы или корня,,
B-9-1,B-9,First syllable,Начальный слог,,
B-9-2,B-9,Second syllable,Второй слог от начала,,
B-9-3,B-9,Third syllable,Третий слог от начала,,
B-9-4,B-9,Ultima,Конечный слог,,
B-9-5,B-9,Penult,Второй слог от конца слова,,<p>Пенультима.</p>
B-9-6,B-9,Antepenult,Третий слог от конца слова,,<p>Антепенультима.</p>
B-9-7,B-9,Any syllable except for ultima,"На любой слог, кроме последнего",,<p>Баритоническое ударение.</p>
B-10-1,B-10,Level,Уровневые,,"<p>Ровные, регистровые — сохраняют свою частоту и высоту неизменной.</p>"
B-10-2,B-10,Contour,Контурные,,"<p>Контурные — меняют свою частоту и высоту, синонимы: скользящие, модулированные, модулярные.</p>"
B-10-3,B-10,Register and contour,Регистровые и контурные,,<p>В одной системе соединяют тона из разных групп.</p>
B-10-4,B-10,Combinatorial tones,Комбинаторные тоны,,"<p>Сочетающие в одном тоне движение на каком-то уровне и изменение уровня, как ровный восходящий или, например, в цифровом обозначении 225.</p>"
B-10-5,B-10,Broken tones,Ломаные тоны,,"<p>Сложные контуры, имеющие разнонаправленное движение, например нисходяще-восходящий или 5241.</p>"
B-10-6,B-10,Combination of tone and phonation features,Сочетание тона с фонационными характеристиками,,"<p>Когда тон сочетается с фонацией, гортанной смычкой или другими просодическими элементами, например прерывистые во вьетнамском.</p>"
B-11-1,B-11,Two,Два,,<p>Обычно высокий и низкий.</p>
B-11-2,B-11,Three,Три,,"<p>Обычно высокий, средний и низкий.</p>"
B-11-3,B-11,Four,Четыре,,
B-11-4,B-11,Five and more,Пять и более,,
B-12-1,B-12,Ultra-high,Сверхвысокий,,<p>Ультравысокий.</p>
B-12-2,B-12,High,Высокий,,
B-12-3,B-12,Middle,Средний,,
B-12-4,B-12,Low,Низкий,,
B-12-5,B-12,Ultra-low,Ультранизкий,,<p>Сверхнизкий.</p>
B-13-1,B-13,One,Один,,
B-13-2,B-13,Two,Два,,
B-13-3,B-13,Three,Три,,<p>Обычно нисходящий и восходящий.</p>
B-13-4,B-13,Four,Четыре,,
B-13-5,B-13,Five,Пять,,
B-13-6,B-13,More than five,Больше пяти,,
B-14-1,B-14,Rising,Восходящий,,
B-14-2,B-14,Rising by 1-2 levels,Восходящий на 1-2 уровня,,"<p>Восходящий плавный или высокий восходящий, в языке гбан описан как средневосходящий.</p>"
B-14-3,B-14,Rising by 3 and more levels,Восходящий на 3 и более уровней,,<p>Восходящий резкий или низкий восходящий.</p>
B-14-4,B-14,Falling,Нисходящий,,
B-14-5,B-14,Falling by 1-2 levels,Нисходящий на 1-2 уровня,,<p>Нисходящий плавный или низкий нисходящий.</p>
B-14-6,B-14,Falling by 3 and more levels,Нисходящий на 3 и более уровней,,"<p>Резко нисходящий, например в корейском языке.</p>"
B-14-7,B-14,Falling-rising,Нисходяще-восходящий,,
B-14-8,B-14,Rising-falling,Восходяще-нисходящий,,
B-15-1,B-15,Phonological,Фонологическая,,
B-15-2,B-15,Non-phonological,Нефонологическая,,
B-15-3,B-15,Rhythmic,Ритмическая,,
B-15-4,B-15,Phonological and non-phonological,Фонологическая и нефонологическая,,
B-15-5,B-15,Phonological and rhythmic,Фонологическая и ритмическая,,
B-15-6,B-15,Non-phonological and rhythmic,Нефонологическая и ритмическая,,
B-16-1,B-16,Phoneme,Фонема,,
B-16-2,B-16,Group of phonemes,Группа фонем,,
B-16-3,B-16,Affix,Аффикс,,
B-16-4,B-16,Group of affixes,Группа аффиксов,,
B-16-5,B-16,"Group of affixes, all vowels",Группа слогов или все гласные слова,,
B-16-6,B-16,All vowels,Все гласные слова,,
B-16-7,B-16,One vowel or all vowels,Один гласный или все гласные слова,,
B-16-8,B-16,Foot,Стопа,,
B-16-9,B-16,No vowel harmony,Гармоническое уподобление гласных отсутствует,,
B-17-1,B-17,Length,Долгота,,
B-17-2,B-17,Backness,Ряд,,
B-17-3,B-17,Height,Подъем,,
B-17-4,B-17,Labialization,Лабиализация,,
B-17-5,B-17,ATR,Позиция корня языка,,
B-17-6,B-17,Backness and height,Ряд и подъем,,
B-17-7,B-17,Backness and roundedness,Ряд и лабиализация,,
B-17-8,B-17,Height and roundedness,Подъем и лабиализация,,
B-17-9,B-17,Height and palatality,Подъем и палатальность,,
B-17-10,B-17,Roundedness and palatality,Лабиализация и палатальность,,
B-17-11,B-17,"Backness, height and roundedness","Ряд, подъем и лабиализация",,
B-17-12,B-17,"Height, length, and labialization","Подъем, долгота и лабиализация",,
B-17-13,B-17,Nasalization,Назализация,,
B-17-14,B-17,ATR and nasalization,Степень продвинутости языка (ATR) и назализация,,
B-17-15,B-17,Openness/closedness,Открытость/закрытость,,
B-17-16,B-17,Narrow and broad vowels,Широкие и узкие гласные,,
B-18-1,B-18,First vowel of word,Первый гласный слова,,
B-18-2,B-18,First vowel of affix,Первый гласный аффикса,,
B-18-3,B-18,First vowel of root,Первый гласный корня,,
B-18-4,B-18,Stressed vowel,Ударный гласный,,
B-18-5,B-18,Last vowel of stem,Последний гласный основы,,
B-18-6,B-18,First vowel of word (root),Первый гласный слова (=корня),,
B-18-7,B-18,"Final syllable vowel, or first vowel of word, or stressed syllable of stem","Гласный финального слога, первый гласный слова или ударный гласный основы",,
B-18-8,B-18,First vowel of word or last vowel of stem,Первый гласный слова или последний гласный основы,,
B-18-9,B-18,First vowel of affix or first vowel of root,Первый гласный аффикса или первый гласный корня,,
B-18-10,B-18,Last vowel of word,Последний гласный слова,,
B-18-11,B-18,Vowel of flection,Гласный флексии,,
B-18-12,B-18,Vowel of next syllable,Гласный следующего слога,,
B-18-13,B-18,Vowel or diphthong of preceding syllable,Гласный или дифтонг предшествующего слога,,
B-19-1,B-19,Nasalization,Назализация,,
B-19-2,B-19,Palatalization,Палатализация,,
B-19-3,B-19,Pharyngealization,Фарингализация,,
B-19-4,B-19,Phonation,Фонация,,
B-19-5,B-19,Velarization and palatalization,Веляризация и палатализация,,
B-19-6,B-19,Pharyngealization and phonation,Фарингализация и фонация,,
B-19-7,B-19,Palatalization and nasalization,Палатализация и назализация,,
B-19-8,B-19,Labialization and glottal stop,Лабиализация и гортанная смычка,,
B-19-9,B-19,Aspiration and palatalization,Аспирация и палатализация,,
B-20-1,B-20,Creaky voice,Скрипучая,,
B-20-2,B-20,Stiff voice and slack voice,Напряженная и слабая,,
B-20-3,B-20,"Stiff voice, slack voice and creaky voice","Напряженная, слабая и скрипучая",,
B-20-4,B-20,Stiff voice and aspirated voice,Напряженная и придыхательная,,
B-20-5,B-20,"Stiff voice, modal voice and aspirated voice","Напряженная, модальная и придыхательная",,
B-20-6,B-20,Stiff voice,Напряженная,,
B-20-7,B-20,Aspirated voice,Придыхательная,,
B-20-8,B-20,Slack voice,Слабая,,
B-20-9,B-20,Slackened voice,Ослабленная,,
C-1-1,C-1,No null onset,Обязательно имеется,,
C-1-2,C-1,Most syllables have a non-null onset,Большинство слогов прикрытые,,
C-1-3,C-1,Most syllables have a null onset,Большинство слогов неприкрытые,,
C-1-4,C-1,Both null and non-null onset possible,Есть прикрытые и неприкрытые слоги,,
C-2-1,C-2,Only null coda possible,Запрещен,,
C-2-2,C-2,Most syllables have a non-null coda,Большинство слогов закрытые,,
C-2-3,C-2,Most syllables have a null coda,Большинство слогов открытые,,
C-2-4,C-2,Both null and non-null ocoda possible,Есть закрытые и открытые слоги,,
C-3-1,C-3,Consonant clusters are absent,Стечения согласных не встречаются,,
C-3-2,C-3,Consonant clusters are only possible at the onset of syllable,Стечения согласных возможны только в начале слога,,
C-3-3,C-3,Consonant clusters are only possible at the coda of syllable,Стечения согласных возможны только в конце слога,,
C-3-4,C-3,Consonant clusters are possible at both the onset and the coda of syllable,"Стечения согласных возможны и в начале, и в конце слога",,
D-1-1,D-1,Absent,Отсутствуют,,
D-1-2,D-1,Present,Присутствуют,,
D-2-1,D-2,Only vowels possible,Разрешены только гласные,,
D-2-2,D-2,Only consonants possible,Разрешены только согласные,,"<p>Например, серболужицкий: <b><i>в 2.1.4 “Слоги в исконных серболужицких лексемах, как правило, не начинаются с гласной; исключение составляют некоторые союзы, частицы, междометия (см. 2.2.2.), изредка другие слова (ср. в.-луж. ert ‘рот’)”.</i></b></p>"
D-2-3,D-2,Limited set of vowels,Ограниченный набор гласных,,"<p><i>Например, истрорумынский</i></p>"
D-2-4,D-2,Limited set of consonants possible,Ограниченный набор согласных,,"<p><i>Например, испанский</i></p>"
D-2-5,D-2,Limitations on consonant sequences (combinations),Ограничения на последовательность (сочетания) согласных,,"<p>Например, панджаби: <b><i>“В начале слова допустимы сочетания типа «смычный + дрожащий»”.</i></b></p>"
D-2-6,D-2,No vowel clusters,Запрет на любые стечения гласных,,"<p><i>Например, старославянский</i></p>"
D-2-7,D-2,No consonant clusters,Запрет на любые стечения согласных,,"<p>Например,  осетинский, из 2.1.4: <b><i>“Одним из характерных признаков фонологической структуры слога в О.я. является тенденция к «разгружению» его начала от групп согласных.”</b></i></p>"
